"sigma.hat","GARCH","Frequency","MSE","QLIKE"
0.0136247119233512,"sGARCH","Day",3.37488317220611e-08,-8.58137440826892
0.0131374368963461,"sGARCH","Day",8.15263172668332e-08,-6.01022781376449
0.0137885183422149,"sGARCH","Day",1.41601788187758e-08,-8.19372973739568
0.0134756947295428,"sGARCH","Day",4.78754140064385e-08,-6.40882706041422
0.0139424722975483,"sGARCH","Day",6.93592450583053e-09,-7.11720825060113
0.0140671023219904,"sGARCH","Day",3.16833967822521e-08,-8.42734395259277
0.0136581886753251,"sGARCH","Day",2.40239451485272e-08,-8.41770755910109
0.0132829751357957,"sGARCH","Day",6.91726084611686e-09,-7.17115860788749
0.0134441508754338,"sGARCH","Day",1.5628649573545e-09,-7.83714505030577
0.013327914324247,"sGARCH","Day",4.34692712466091e-09,-8.00695405443269
0.0131414209882872,"sGARCH","Day",6.87144524795357e-07,-2.86399269138599
0.0149292951704626,"sGARCH","Day",1.59499845338584e-08,-7.97549231154656
0.0146397024805854,"sGARCH","Day",1.58462034491586e-08,-8.03538772670994
0.0143203198228487,"sGARCH","Day",3.37100504699662e-08,-8.38746328112239
0.0138881202924461,"sGARCH","Day",2.79220896659401e-08,-8.41978023178281
0.0134861530591,"sGARCH","Day",2.03816906812581e-08,-8.39713714617137
0.0131153131782335,"sGARCH","Day",6.29225307503836e-09,-8.12910333933477
0.0129063778811315,"sGARCH","Day",6.82912017766997e-10,-7.54318517750856
0.0129436462488389,"sGARCH","Day",2.72315698740913e-08,-8.6792706466395
0.0125241749533058,"sGARCH","Day",1.63711919373307e-08,-8.57591049250697
0.0121830228324413,"sGARCH","Day",5.51913998984762e-09,-8.31594852101949
0.0119619522604922,"sGARCH","Day",5.3355643818e-09,-7.34156001716384
0.0121270598876787,"sGARCH","Day",8.32707143562221e-09,-8.44512238645568
0.0118863401909862,"sGARCH","Day",1.85067642883688e-09,-7.56024371637296
0.0119594462012289,"sGARCH","Day",8.66224156803359e-09,-8.50318595055185
0.0116960244705795,"sGARCH","Day",1.85996932792226e-08,-8.89396940151783
0.0113334323074944,"sGARCH","Day",4.73765043846702e-09,-8.49586557444575
0.0110801115821628,"sGARCH","Day",2.19877997876594e-07,-4.1857413131631
0.012308903277755,"sGARCH","Day",2.27174749773098e-08,-8.78967754688054
0.0119205216157487,"sGARCH","Day",1.91341154295549e-08,-8.832437775818
0.0115281388608012,"sGARCH","Day",1.21763216547957e-08,-8.75623758232119
0.0112570273562664,"sGARCH","Day",1.0236693224272e-07,-5.44869387488325
0.0120675900861101,"sGARCH","Day",1.06711767477548e-08,-8.54382117514297
0.0117882257948283,"sGARCH","Day",4.44056958484636e-09,-7.40177075903177
0.0119394620304354,"sGARCH","Day",1.23205038000504e-06,-0.069268922920303
0.0143987173249471,"sGARCH","Day",1.47021736530304e-08,-8.06608050870386
0.0140812589009616,"sGARCH","Day",2.07752905372039e-08,-8.25274768482188
0.013755696290409,"sGARCH","Day",6.17841478996059e-08,-6.25897357550829
0.0142510874738286,"sGARCH","Day",3.07799241709493e-08,-8.3656929759118
0.0138506017640824,"sGARCH","Day",1.9422187074336e-06,-0.294251941458283
0.0165158059382491,"sGARCH","Day",1.14239031814049e-07,-5.96777096901716
0.0170394135746896,"sGARCH","Day",5.83076703710256e-08,-6.31277751810682
0.0173230069130915,"sGARCH","Day",1.03415360625112e-08,-7.45031958628607
0.0171073214701707,"sGARCH","Day",8.13617298738471e-08,-8.11114159259794
0.0165881106808463,"sGARCH","Day",3.98695371487829e-08,-7.92378737409608
0.0161007263811187,"sGARCH","Day",2.03225819606693e-08,-7.80770050078707
0.0158272465074934,"sGARCH","Day",2.58057018674085e-08,-7.93332385099364
0.0155435973529766,"sGARCH","Day",4.88004962745726e-08,-8.24255573064837
0.0150415160588325,"sGARCH","Day",6.61225117678842e-07,-3.79977164030824
